attribute_infobox;attribute_mapping
name;http://xmlns.com/foaf/0.1/name
birth_name;dbo:birthName
birth_date;dbo:birthDate
birth_place;dbo:birthPlace
death_date;dbo:deathDate
death_place;dbo:deathPlace
nationality;dbo:nationality
years;
teams;dbo:team
races;
championships;
wins;
podiums;
points;
poles;
fastest_laps;
first_race;
first_win;
last_win;
last_race;
last_season;
last_position;
website;http://xmlns.com/foaf/0.1/homepage
