attribute_infobox;attribute_mapping
name;http://xmlns.com/foaf/0.1/name
location;dbo:location
address;dbo:address
opening_date;dbo:openingDate
closing_date;
previous_name;
developer;dbo:developer
manager;
owner;dbo:owner
architect;dbo:architect
number_of_stores;dbo:numberOfStores
number_of_anchors;
floor_area;dbo:floorArea
floors;dbo:floorCount
parking;
publictransit;
website;http://xmlns.com/foaf/0.1/homepage
